n,p,b,c,b/c,pC,pD,pC > pD
16,0.2,9,1,9.0,0.569,0.512,1
16,0.2,10,2,5.0,0.519,0.589,0
16,0.2,12,2,6.0,0.528,0.52,1
16,0.2,14,2,7.0,0.515,0.512,1
16,0.2,16,2,8.0,0.562,0.496,1
16,0.2,18,2,9.0,0.589,0.477,1
16,0.2,15,3,5.0,0.517,0.606,0
16,0.2,18,3,6.0,0.522,0.55,0
16,0.2,21,3,7.0,0.533,0.5,1
16,0.2,24,3,8.0,0.564,0.513,1
16,0.2,27,3,9.0,0.572,0.47,1
16,0.4,5,1,5.0,0.524,0.519,1
16,0.4,6,1,6.0,0.572,0.538,1
16,0.4,7,1,7.0,0.537,0.545,0
16,0.4,8,1,8.0,0.56,0.524,1
16,0.4,9,1,9.0,0.58,0.517,1
16,0.4,10,2,5.0,0.535,0.592,0
16,0.4,12,2,6.0,0.565,0.549,1
16,0.4,14,2,7.0,0.549,0.519,1
16,0.4,16,2,8.0,0.541,0.511,1
16,0.4,18,2,9.0,0.583,0.504,1
16,0.4,15,3,5.0,0.494,0.549,0
16,0.4,18,3,6.0,0.521,0.527,0
16,0.4,21,3,7.0,0.526,0.542,0
16,0.4,24,3,8.0,0.582,0.552,1
16,0.4,27,3,9.0,0.546,0.461,1
16,0.6,5,1,5.0,0.521,0.59,0
16,0.6,6,1,6.0,0.543,0.501,1
16,0.6,7,1,7.0,0.564,0.508,1
16,0.6,8,1,8.0,0.533,0.555,0
16,0.6,9,1,9.0,0.558,0.492,1
16,0.6,10,2,5.0,0.523,0.526,0
16,0.6,12,2,6.0,0.549,0.526,1
16,0.6,14,2,7.0,0.536,0.548,0
16,0.6,16,2,8.0,0.57,0.489,1
16,0.6,18,2,9.0,0.605,0.545,1
16,0.6,15,3,5.0,0.5,0.529,0
16,0.6,18,3,6.0,0.515,0.591,0
16,0.6,21,3,7.0,0.518,0.546,0
16,0.6,24,3,8.0,0.592,0.509,1
16,0.6,27,3,9.0,0.592,0.507,1
16,0.8,5,1,5.0,0.551,0.521,1
16,0.8,6,1,6.0,0.566,0.521,1
16,0.8,7,1,7.0,0.538,0.562,0
16,0.8,8,1,8.0,0.533,0.532,1
